test_type,gender,age_min,age_max,performance_reps,score
pushup,male,0,21,60,25
pushup,male,0,21,59,24
pushup,male,0,21,58,24
pushup,male,0,21,57,24
pushup,male,0,21,56,24
pushup,male,0,21,55,23
pushup,male,0,21,54,23
pushup,male,0,21,53,23
pushup,male,0,21,52,23
pushup,male,0,21,51,22
pushup,male,0,21,50,22
pushup,male,0,21,49,22
pushup,male,0,21,48,22
pushup,male,0,21,47,21
pushup,male,0,21,46,21
pushup,male,0,21,45,21
pushup,male,0,21,44,21
pushup,male,0,21,43,20
pushup,male,0,21,42,20
pushup,male,0,21,41,20
pushup,male,0,21,40,20
pushup,male,0,21,39,19
pushup,male,0,21,38,19
pushup,male,0,21,37,19
pushup,male,0,21,36,18
pushup,male,0,21,35,18
pushup,male,0,21,34,18
pushup,male,0,21,33,17
pushup,male,0,21,32,17
pushup,male,0,21,31,17
pushup,male,0,21,30,16
pushup,male,0,21,29,16
pushup,male,0,21,28,16
pushup,male,0,21,27,15
pushup,male,0,21,26,15
pushup,male,0,21,25,14
pushup,male,0,21,24,13
pushup,male,0,21,23,12
pushup,male,0,21,22,11
pushup,male,0,21,21,10
pushup,male,0,21,20,9
pushup,male,0,21,19,8
pushup,male,0,21,18,6
pushup,male,0,21,17,4
pushup,male,0,21,16,2
pushup,male,0,21,15,1
pushup,male,0,21,14,0
pushup,male,0,21,13,0
pushup,male,0,21,12,0
pushup,male,0,21,11,0
pushup,male,0,21,10,0
pushup,male,0,21,9,0
pushup,male,0,21,8,0
pushup,male,0,21,7,0
pushup,male,0,21,6,0
pushup,male,0,21,5,0
pushup,male,0,21,4,0
pushup,male,0,21,3,0
pushup,male,0,21,2,0
pushup,male,0,21,1,0
pushup,female,0,21,50,25
pushup,female,0,21,49,24
pushup,female,0,21,48,24
pushup,female,0,21,47,24
pushup,female,0,21,46,24
pushup,female,0,21,45,24
pushup,female,0,21,44,23
pushup,female,0,21,43,23
pushup,female,0,21,42,23
pushup,female,0,21,41,23
pushup,female,0,21,40,22
pushup,female,0,21,39,22
pushup,female,0,21,38,22
pushup,female,0,21,37,22
pushup,female,0,21,36,21
pushup,female,0,21,35,21
pushup,female,0,21,34,21
pushup,female,0,21,33,21
pushup,female,0,21,32,20
pushup,female,0,21,31,20
pushup,female,0,21,30,20
pushup,female,0,21,29,20
pushup,female,0,21,28,20
pushup,female,0,21,27,19
pushup,female,0,21,26,19
pushup,female,0,21,25,19
pushup,female,0,21,24,18
pushup,female,0,21,23,18
pushup,female,0,21,22,18
pushup,female,0,21,21,17
pushup,female,0,21,20,16
pushup,female,0,21,19,15
pushup,female,0,21,18,15
pushup,female,0,21,17,10
pushup,female,0,21,16,5
pushup,female,0,21,15,1
pushup,female,0,21,14,0
pushup,female,0,21,13,0
pushup,female,0,21,12,0
pushup,female,0,21,11,0
pushup,female,0,21,10,0
pushup,female,0,21,9,0
pushup,female,0,21,8,0
pushup,female,0,21,7,0
pushup,female,0,21,6,0
pushup,female,0,21,5,0
pushup,female,0,21,4,0
pushup,female,0,21,3,0
pushup,female,0,21,2,0
pushup,female,0,21,1,0
pushup,male,22,24,60,25
pushup,male,22,24,59,25
pushup,male,22,24,58,24
pushup,male,22,24,57,24
pushup,male,22,24,56,24
pushup,male,22,24,55,24
pushup,male,22,24,54,23
pushup,male,22,24,53,23
pushup,male,22,24,52,23
pushup,male,22,24,51,23
pushup,male,22,24,50,22
pushup,male,22,24,49,22
pushup,male,22,24,48,22
pushup,male,22,24,47,22
pushup,male,22,24,46,21
pushup,male,22,24,45,21
pushup,male,22,24,44,21
pushup,male,22,24,43,21
pushup,male,22,24,42,20
pushup,male,22,24,41,20
pushup,male,22,24,40,20
pushup,male,22,24,39,20
pushup,male,22,24,38,19
pushup,male,22,24,37,19
pushup,male,22,24,36,19
pushup,male,22,24,35,18
pushup,male,22,24,34,18
pushup,male,22,24,33,18
pushup,male,22,24,32,17
pushup,male,22,24,31,17
pushup,male,22,24,30,17
pushup,male,22,24,29,16
pushup,male,22,24,28,16
pushup,male,22,24,27,16
pushup,male,22,24,26,15
pushup,male,22,24,25,15
pushup,male,22,24,24,14
pushup,male,22,24,23,13
pushup,male,22,24,22,12
pushup,male,22,24,21,11
pushup,male,22,24,20,10
pushup,male,22,24,19,9
pushup,male,22,24,18,8
pushup,male,22,24,17,6
pushup,male,22,24,16,4
pushup,male,22,24,15,2
pushup,male,22,24,14,1
pushup,male,22,24,13,0
pushup,male,22,24,12,0
pushup,male,22,24,11,0
pushup,male,22,24,10,0
pushup,male,22,24,9,0
pushup,male,22,24,8,0
pushup,male,22,24,7,0
pushup,male,22,24,6,0
pushup,male,22,24,5,0
pushup,male,22,24,4,0
pushup,male,22,24,3,0
pushup,male,22,24,2,0
pushup,male,22,24,1,0
pushup,female,22,24,50,25
pushup,female,22,24,49,25
pushup,female,22,24,48,25
pushup,female,22,24,47,24
pushup,female,22,24,46,24
pushup,female,22,24,45,24
pushup,female,22,24,44,24
pushup,female,22,24,43,23
pushup,female,22,24,42,23
pushup,female,22,24,41,23
pushup,female,22,24,40,23
pushup,female,22,24,39,22
pushup,female,22,24,38,22
pushup,female,22,24,37,22
pushup,female,22,24,36,22
pushup,female,22,24,35,21
pushup,female,22,24,34,21
pushup,female,22,24,33,21
pushup,female,22,24,32,21
pushup,female,22,24,31,20
pushup,female,22,24,30,20
pushup,female,22,24,29,20
pushup,female,22,24,28,20
pushup,female,22,24,27,20
pushup,female,22,24,26,19
pushup,female,22,24,25,19
pushup,female,22,24,24,19
pushup,female,22,24,23,18
pushup,female,22,24,22,18
pushup,female,22,24,21,18
pushup,female,22,24,20,17
pushup,female,22,24,19,16
pushup,female,22,24,18,15
pushup,female,22,24,17,15
pushup,female,22,24,16,10
pushup,female,22,24,15,5
pushup,female,22,24,14,1
pushup,female,22,24,13,0
pushup,female,22,24,12,0
pushup,female,22,24,11,0
pushup,female,22,24,10,0
pushup,female,22,24,9,0
pushup,female,22,24,8,0
pushup,female,22,24,7,0
pushup,female,22,24,6,0
pushup,female,22,24,5,0
pushup,female,22,24,4,0
pushup,female,22,24,3,0
pushup,female,22,24,2,0
pushup,female,22,24,1,0
pushup,male,25,27,60,25
pushup,male,25,27,59,25
pushup,male,25,27,58,25
pushup,male,25,27,57,24
pushup,male,25,27,56,24
pushup,male,25,27,55,24
pushup,male,25,27,54,24
pushup,male,25,27,53,23
pushup,male,25,27,52,23
pushup,male,25,27,51,23
pushup,male,25,27,50,23
pushup,male,25,27,49,22
pushup,male,25,27,48,22
pushup,male,25,27,47,22
pushup,male,25,27,46,22
pushup,male,25,27,45,21
pushup,male,25,27,44,21
pushup,male,25,27,43,21
pushup,male,25,27,42,21
pushup,male,25,27,41,20
pushup,male,25,27,40,20
pushup,male,25,27,39,20
pushup,male,25,27,38,20
pushup,male,25,27,37,19
pushup,male,25,27,36,19
pushup,male,25,27,35,19
pushup,male,25,27,34,18
pushup,male,25,27,33,18
pushup,male,25,27,32,18
pushup,male,25,27,31,17
pushup,male,25,27,30,17
pushup,male,25,27,29,17
pushup,male,25,27,28,16
pushup,male,25,27,27,16
pushup,male,25,27,26,16
pushup,male,25,27,25,15
pushup,male,25,27,24,15
pushup,male,25,27,23,14
pushup,male,25,27,22,13
pushup,male,25,27,21,12
pushup,male,25,27,20,11
pushup,male,25,27,19,10
pushup,male,25,27,18,9
pushup,male,25,27,17,8
pushup,male,25,27,16,6
pushup,male,25,27,15,4
pushup,male,25,27,14,2
pushup,male,25,27,13,1
pushup,male,25,27,12,0
pushup,male,25,27,11,0
pushup,male,25,27,10,0
pushup,male,25,27,9,0
pushup,male,25,27,8,0
pushup,male,25,27,7,0
pushup,male,25,27,6,0
pushup,male,25,27,5,0
pushup,male,25,27,4,0
pushup,male,25,27,3,0
pushup,male,25,27,2,0
pushup,male,25,27,1,0
pushup,female,25,27,50,25
pushup,female,25,27,49,25
pushup,female,25,27,48,25
pushup,female,25,27,47,25
pushup,female,25,27,46,25
pushup,female,25,27,45,24
pushup,female,25,27,44,24
pushup,female,25,27,43,24
pushup,female,25,27,42,24
pushup,female,25,27,41,23
pushup,female,25,27,40,23
pushup,female,25,27,39,23
pushup,female,25,27,38,23
pushup,female,25,27,37,22
pushup,female,25,27,36,22
pushup,female,25,27,35,22
pushup,female,25,27,34,22
pushup,female,25,27,33,21
pushup,female,25,27,32,21
pushup,female,25,27,31,21
pushup,female,25,27,30,21
