level,sex,age_group,performance_band,performance_grade,points,situps_min,situps_max,sbj_min_cm,sbj_max_cm,sitreach_min_cm,sitreach_max_cm,pullups_min,pullups_max,shuttle_min_s,shuttle_max_s,run_km,run_min,run_max
Primary,Male,9,Outstanding,A,5,36,,169,,34,,22,,,11.2,1.6,,9:39
Primary,Male,9,Very Good,B,4,30,35,159,168,30,33,18,21,11.3,11.8,1.6,9:40,10:40
Primary,Male,9,Good,C,3,25,29,149,158,26,29,13,17,11.9,12.2,1.6,10:41,11:40
Primary,Male,9,Good,D,2,20,24,139,148,21,25,9,12,12.3,12.7,1.6,11:41,12:40
Primary,Male,9,Satisfactory,E,1,15,19,130,138,16,20,3,8,12.8,13.1,1.6,12:41,13:50
Primary,Male,10,Outstanding,A,5,37,,175,,36,,23,,,11,1.6,,9:29
Primary,Male,10,Very Good,B,4,31,36,165,174,32,35,19,22,11.1,11.6,1.6,9:30,10:30
Primary,Male,10,Good,C,3,26,30,156,164,28,31,14,18,11.7,12,1.6,10:31,11:40
Primary,Male,10,Good,D,2,21,25,146,155,23,27,9,13,12.1,12.4,1.6,11:41,12:40
Primary,Male,10,Satisfactory,E,1,17,20,137,145,18,22,3,8,12.5,12.9,1.6,12:41,13:40
Primary,Male,11,Outstanding,A,5,40,,189,,38,,24,,,10.6,1.6,,8:49
Primary,Male,11,Very Good,B,4,34,39,177,188,34,37,20,23,10.7,11.2,1.6,8:50,10:00
Primary,Male,11,Good,C,3,30,33,166,176,30,33,15,19,11.3,11.6,1.6,10:01,11:10
Primary,Male,11,Good,D,2,25,29,155,165,25,29,10,14,11.7,12,1.6,11:11,12:20
Primary,Male,11,Satisfactory,E,1,20,24,144,154,20,24,4,9,12.1,12.5,1.6,12:21,13:30
Primary,Male,12,Outstanding,A,5,42,,203,,40,,25,,,10.3,1.6,,8:39
Primary,Male,12,Very Good,B,4,36,41,189,202,36,39,21,24,10.4,10.9,1.6,8:40,9:40
Primary,Male,12,Good,C,3,32,35,176,188,32,35,16,20,11,11.3,1.6,9:41,10:40
Primary,Male,12,Good,D,2,27,31,163,175,28,31,11,15,11.4,11.7,1.6,10:41,11:40
Primary,Male,12,Satisfactory,E,1,22,26,150,162,23,27,5,10,11.8,12.2,1.6,11:41,12:30
Primary,Male,13,Outstanding,A,5,43,,215,,42,,26,,,10.2,1.6,,8:09
Primary,Male,13,Very Good,B,4,38,42,202,214,38,41,22,25,10.3,10.7,1.6,8:10,9:10
Primary,Male,13,Good,C,3,34,37,189,201,34,37,17,21,10.8,11.1,1.6,9:11,10:10
Primary,Male,13,Good,D,2,29,33,176,188,30,33,12,16,11.2,11.5,1.6,10:11,11:00
Primary,Male,13,Satisfactory,E,1,25,28,164,175,25,29,7,11,11.6,11.9,1.6,11:01,12:00
Primary,Male,14,Outstanding,A,5,43,,226,,44,,27,,,10.1,2.4,,11:00
Primary,Male,14,Very Good,B,4,40,42,216,225,40,43,23,26,10.2,10.4,2.4,11:01,12:00
Primary,Male,14,Good,C,3,37,39,206,215,36,39,18,22,10.5,10.8,2.4,12:01,13:00
Primary,Male,14,Good,D,2,33,36,196,205,32,35,13,17,10.9,11.2,2.4,13:01,14:10
Primary,Male,14,Satisfactory,E,1,29,32,186,195,27,31,8,12,11.3,11.6,2.4,14:11,15:20
Primary,Male,15,Outstanding,A,5,43,,238,,46,,8,,,10.1,2.4,,10:40
Primary,Male,15,Very Good,B,4,40,42,228,237,42,45,6,7,10.2,10.3,2.4,10:41,11:40
Primary,Male,15,Good,C,3,37,39,218,227,38,41,5,5,10.4,10.5,2.4,11:41,12:40
Primary,Male,15,Good,D,2,34,36,208,217,34,37,3,4,10.6,10.9,2.4,12:41,13:40
Primary,Male,15,Satisfactory,E,1,30,33,198,207,29,33,1,2,11,11.3,2.4,13:41,14:40
Primary,Female,9,Outstanding,A,5,27,,159,,34,,15,,,11.7,1.6,,10:39
Primary,Female,9,Very Good,B,4,22,26,148,158,31,33,12,14,11.8,12.3,1.6,10:40,11:40
Primary,Female,9,Good,C,3,18,21,139,147,28,30,9,11,12.4,12.8,1.6,11:41,12:50
Primary,Female,9,Good,D,2,14,17,129,138,24,27,6,8,12.9,13.3,1.6,12:51,13:50
Primary,Female,9,Satisfactory,E,1,10,13,119,128,19,23,2,5,13.4,13.8,1.6,13:51,15:00
Primary,Female,10,Outstanding,A,5,28,,162,,36,,15,,,11.6,1.6,,10:29
Primary,Female,10,Very Good,B,4,23,27,152,161,33,35,12,14,11.7,12.2,1.6,10:30,11:25
Primary,Female,10,Good,C,3,19,22,143,151,30,32,9,11,12.3,12.7,1.6,11:26,12:30
Primary,Female,10,Good,D,2,15,18,134,142,26,29,6,8,12.8,13.2,1.6,12:31,13:25
Primary,Female,10,Satisfactory,E,1,11,14,125,133,21,25,3,5,13.3,13.7,1.6,13:26,14:30
Primary,Female,11,Outstanding,A,5,29,,165,,38,,16,,,11.5,1.6,,10:19
Primary,Female,11,Very Good,B,4,24,28,156,164,35,37,13,15,11.6,12.1,1.6,10:20,11:10
Primary,Female,11,Good,C,3,20,23,147,155,32,34,10,12,12.2,12.5,1.6,11:11,12:10
Primary,Female,11,Good,D,2,16,19,138,146,28,31,7,9,12.6,12.9,1.6,12:11,13:00
Primary,Female,11,Satisfactory,E,1,12,15,129,137,23,27,3,6,13,13.4,1.6,13:01,14:00
Primary,Female,12,Outstanding,A,5,30,,168,,40,,16,,,11.4,1.6,,10:09
Primary,Female,12,Very Good,B,4,25,29,159,167,37,39,13,15,11.5,11.9,1.6,10:10,11:00
Primary,Female,12,Good,C,3,21,24,150,158,34,36,10,12,12,12.3,1.6,11:01,12:00
Primary,Female,12,Good,D,2,17,20,141,149,30,33,7,9,12.4,12.7,1.6,12:01,12:50
Primary,Female,12,Satisfactory,E,1,13,16,132,140,25,29,3,6,12.8,13.2,1.6,12:51,13:50
Primary,Female,13,Outstanding,A,5,31,,171,,42,,17,,,11.2,1.6,,9:59
Primary,Female,13,Very Good,B,4,26,30,162,170,39,41,13,16,11.3,11.7,1.6,10:00,10:50
Primary,Female,13,Good,C,3,22,25,153,161,36,38,10,12,11.8,12.2,1.6,10:51,11:50
Primary,Female,13,Good,D,2,18,21,144,152,32,35,7,9,12.3,12.7,1.6,11:51,12:40
Primary,Female,13,Satisfactory,E,1,14,17,135,143,27,31,3,6,12.8,13.2,1.6,12:41,13:40
Primary,Female,14,Outstanding,A,5,31,,178,,44,,17,,,11.4,2.4,,14:20
Primary,Female,14,Very Good,B,4,28,30,169,177,41,43,14,16,11.5,11.8,2.4,14:21,15:20
Primary,Female,14,Good,C,3,24,27,160,168,38,40,10,13,11.9,12.2,2.4,15:21,16:20
Primary,Female,14,Good,D,2,20,23,151,159,34,37,7,9,12.3,12.6,2.4,16:21,17:20
Primary,Female,14,Satisfactory,E,1,16,19,142,150,29,33,3,6,12.7,13,2.4,17:21,18:20
Primary,Female,15,Outstanding,A,5,31,,183,,46,,17,,,11.2,2.4,,14:10
Primary,Female,15,Very Good,B,4,29,30,174,182,43,45,14,16,11.3,11.6,2.4,14:11,15:10
Primary,Female,15,Good,C,3,25,28,165,173,39,42,10,13,11.7,12,2.4,15:11,16:10
Primary,Female,15,Good,D,2,21,24,156,164,35,38,7,9,12.1,12.4,2.4,16:11,17:10
Primary,Female,15,Satisfactory,E,1,17,20,147,155,30,34,3,6,12.5,12.8,2.4,17:11,18:10
Secondary,Male,12,,A,5,42,,203,,40,,25,,,10.3,,,12:00
Secondary,Male,12,,B,4,36,41,189,202,36,39,21,24,10.4,10.9,,12:01,13:10
Secondary,Male,12,,C,3,32,35,176,188,32,35,16,20,11,11.3,,13:11,14:20
Secondary,Male,12,,D,2,27,31,163,175,28,31,11,15,11.4,11.7,,14:21,15:30
Secondary,Male,12,,E,1,22,26,150,162,23,27,5,10,11.8,12.2,,15:31,16:50
Secondary,Male,13,,A,5,43,,215,,42,,26,,,10.2,,,11:30
Secondary,Male,13,,B,4,38,42,202,214,38,41,22,25,10.3,10.7,,11:31,12:30
Secondary,Male,13,,C,3,34,37,189,201,34,37,17,21,10.8,11.1,,12:31,13:40
Secondary,Male,13,,D,2,29,33,176,188,30,33,12,16,11.2,11.5,,13:41,14:50
Secondary,Male,13,,E,1,25,28,164,175,25,29,7,11,11.6,11.9,,14:51,16:00
Secondary,Male,14,,A,5,43,,226,,44,,27,,,10.1,,,11:00
Secondary,Male,14,,B,4,40,42,216,225,40,43,23,26,10.2,10.4,,11:01,12:00
Secondary,Male,14,,C,3,37,39,206,215,36,39,18,22,10.5,10.8,,12:01,13:00
Secondary,Male,14,,D,2,33,36,196,205,32,35,13,17,10.9,11.2,,13:01,14:10
Secondary,Male,14,,E,1,29,32,186,195,27,31,8,12,11.3,11.6,,14:11,15:20
Secondary,Male,15,,A,5,43,,238,,46,,8,,,10.1,,,10:40
Secondary,Male,15,,B,4,40,42,228,237,42,45,6,7,10.2,10.3,,10:41,11:40
Secondary,Male,15,,C,3,37,39,218,227,38,41,5,5,10.4,10.5,,11:41,12:40
Secondary,Male,15,,D,2,34,36,208,217,34,37,3,4,10.6,10.9,,12:41,13:40
Secondary,Male,15,,E,1,30,33,198,207,29,33,1,2,11,11.3,,13:41,14:40
Secondary,Male,16,,A,5,43,,246,,48,,9,,,10.1,,,10:30
Secondary,Male,16,,B,4,40,42,236,245,44,47,7,8,10.2,10.3,,10:31,11:30
Secondary,Male,16,,C,3,37,39,226,235,40,43,5,6,10.4,10.5,,11:31,12:20
Secondary,Male,16,,D,2,34,36,216,225,36,39,3,4,10.6,10.7,,12:21,13:20
Secondary,Male,16,,E,1,31,33,206,215,31,35,1,2,10.8,11.1,,13:21,14:10
Secondary,Male,17,,A,5,43,,250,,49,,10,,,10.1,,,10:20
Secondary,Male,17,,B,4,40,42,240,249,45,48,8,9,10.2,10.3,,10:21,11:10
Secondary,Male,17,,C,3,37,39,230,239,41,44,6,7,10.4,10.5,,11:11,12:00
Secondary,Male,17,,D,2,34,36,220,229,37,40,4,5,10.6,10.7,,12:01,12:50
Secondary,Male,17,,E,1,31,33,210,219,32,36,2,3,10.8,10.9,,12:51,13:40
Secondary,Male,18,,A,5,43,,252,,49,,11,,,10.1,,,10:20
Secondary,Male,18,,B,4,40,42,242,251,45,48,9,10,10.2,10.3,,10:21,11:10
Secondary,Male,18,,C,3,37,39,232,241,41,44,7,8,10.4,10.5,,11:11,11:50
Secondary,Male,18,,D,2,34,36,222,231,37,40,5,6,10.6,10.7,,11:51,12:40
Secondary,Male,18,,E,1,31,33,212,221,32,36,3,4,10.8,10.9,,12:41,13:30
Secondary,Male,19,,A,5,43,,252,,49,,11,,,10.1,,,10:20
Secondary,Male,19,,B,4,40,42,242,251,45,48,9,10,10.2,10.3,,10:21,11:00
Secondary,Male,19,,C,3,37,39,232,241,41,44,7,8,10.4,10.5,,11:01,11:40
Secondary,Male,19,,D,2,34,36,222,231,37,40,5,6,10.6,10.7,,11:41,12:30
Secondary,Male,19,,E,1,31,33,212,221,32,36,3,4,10.8,10.9,,12:31,13:20
Secondary,Male,20-24,,A,5,40,,243,,48,,11,,,10.3,,,10:20
Secondary,Male,20-24,,B,4,37,39,234,242,44,47,9,10,10.4,10.5,,10:21,11:00
Secondary,Male,20-24,,C,3,34,36,225,233,40,43,7,8,10.6,10.7,,11:01,11:40
Secondary,Male,20-24,,D,2,31,33,216,224,36,39,5,6,10.8,10.9,,11:41,12:20
Secondary,Male,20-24,,E,1,28,30,207,215,32,35,3,4,11,11.1,,12:21,13:00
Secondary,Female,12,,A,5,30,,168,,40,,16,,,11.4,,,14:40
Secondary,Female,12,,B,4,25,29,159,167,37,39,13,15,11.5,11.9,,14:41,15:40
Secondary,Female,12,,C,3,21,24,150,158,34,36,10,12,12,12.3,,15:41,16:40
Secondary,Female,12,,D,2,17,20,141,149,30,33,7,9,12.4,12.7,,16:41,17:40
Secondary,Female,12,,E,1,13,16,132,140,23,27,3,6,12.8,13.2,,17:41,18:40
Secondary,Female,13,,A,5,31,,171,,42,,17,,,11.2,,,14:30
Secondary,Female,13,,B,4,26,30,162,170,39,41,13,16,11.3,11.7,,14:31,15:30
Secondary,Female,13,,C,3,22,25,153,161,36,38,10,12,11.8,12.2,,15:31,16:30
Secondary,Female,13,,D,2,18,21,144,152,32,35,7,9,12.3,12.7,,16:31,17:30
Secondary,Female,13,,E,1,14,17,135,143,27,31,3,6,12.8,13.2,,17:31,18:30
Secondary,Female,14,,A,5,31,,178,,44,,17,,,11.4,,,14:20
Secondary,Female,14,,B,4,28,30,169,177,41,43,14,16,11.5,11.8,,14:21,15:20
Secondary,Female,14,,C,3,24,27,160,168,38,40,10,13,11.9,12.2,,15:21,16:20
Secondary,Female,14,,D,2,20,23,151,159,34,37,7,9,12.3,12.6,,16:21,17:20
Secondary,Female,14,,E,1,16,19,142,150,29,33,3,6,12.7,13,,17:21,18:20
Secondary,Female,15,,A,5,31,,183,,46,,17,,,11.2,,,14:00
Secondary,Female,15,,B,4,29,30,174,182,43,45,14,16,11.3,11.5,,14:01,15:00
Secondary,Female,15,,C,3,25,28,165,173,39,42,10,13,11.6,11.8,,15:01,16:00
Secondary,Female,15,,D,2,21,24,156,164,35,38,7,10,11.9,12.2,,16:01,17:00
Secondary,Female,15,,E,1,17,20,147,155,30,34,3,6,12.3,12.6,,17:01,17:50
Secondary,Female,17,,A,5,31,,190,,47,,18,,,11.2,,,14:00
Secondary,Female,17,,B,4,29,30,181,189,44,46,14,17,11.3,11.5,,14:01,14:50
Secondary,Female,17,,C,3,27,28,172,180,40,43,11,13,11.6,11.8,,14:51,15:50
Secondary,Female,17,,D,2,23,26,163,171,36,39,7,10,11.9,12.1,,15:51,16:40
Secondary,Female,17,,E,1,19,22,154,162,32,35,3,6,12.2,12.5,,16:41,17:30
Secondary,Female,18,,A,5,31,,193,,47,,18,,,11.2,,,14:00
Secondary,Female,18,,B,4,29,30,183,192,44,46,15,17,11.3,11.5,,14:01,14:50
Secondary,Female,18,,C,3,27,28,174,182,40,43,11,14,11.6,11.8,,14:51,15:40
Secondary,Female,18,,D,2,24,26,165,173,36,39,8,10,11.9,12.1,,15:41,16:30
Secondary,Female,18,,E,1,20,23,156,164,32,35,4,7,12.2,12.4,,16:31,17:20
Secondary,Female,19,,A,5,31,,196,,46,,18,,,11.2,,,14:20
Secondary,Female,19,,B,4,29,30,185,195,43,45,15,17,11.3,11.5,,14:21,14:50
Secondary,Female,19,,C,3,27,28,174,184,39,42,11,14,11.6,11.8,,14:51,15:30
Secondary,Female,19,,D,2,24,26,165,173,36,38,8,10,11.9,12.1,,15:31,16:20
Secondary,Female,19,,E,1,21,23,156,164,32,35,5,7,12.2,12.4,,16:21,17:10
Secondary,Female,20-24,,A,5,29,,198,,44,,18,,,11.5,,,15:00
Secondary,Female,20-24,,B,4,27,28,186,197,41,43,15,17,11.6,11.8,,15:01,15:30
Secondary,Female,20-24,,C,3,25,26,174,185,38,40,11,14,11.9,12.1,,15:31,16:00
Secondary,Female,20-24,,D,2,23,24,162,173,35,37,8,10,12.2,12.4,,16:01,16:30
Secondary,Female,20-24,,E,1,21,22,150,161,31,34,5,7,12.5,12.7,,16:31,17:00
